PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Mumbai North Central,29,GEN,Maharashtra,Poonam Mahajan,Bharatiya Janta Party,"16,10,246","9,01,784",0.567,"1,30,005",0.144
Mumbai North East,28,GEN,Maharashtra,Manoj Kotak,Bharatiya Janta Party,"15,27,514","9,08,993",0.603,"2,26,486",0.249
Mumbai North West,27,GEN,Maharashtra,Gajanan Kirtikar,Shiv Sena,"19,08,991","9,41,497",0.503,"2,60,328",0.277
Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena,"15,37,955","8,01,611",0.531,"1,00,067",0.125
Mumbai South Central,30,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,"13,88,390","7,97,250",0.584,"1,52,139",0.191
Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),"18,70,993","10,36,268",0.559,"1,67,937",0.162
Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,"18,24,697","14,53,755",0.805,"2,26,417",0.156
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Sanjeev Kumar Balyan,Bharatiya Janta Party,"16,47,368","11,60,071",0.707,6526,0.006
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,"17,10,868","10,58,086",0.624,"4,09,988",0.387
Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,"18,73,063","13,18,041",0.707,"1,38,647",0.105
Nabarangpur,12,ST,Orissa,Ramesh Chandra Majhi,Biju Janata Dal,"14,01,704","11,59,700",0.859,41634,0.036
Nagaland,1,ST,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,"11,90,285","10,06,357",0.847,16344,0.016
Nagapattinam,29,SC,Tamil Nadu,Selvaraj M,Communist Party Of India,"12,92,695","10,02,208",0.783,"2,11,353",0.211
Nagarkurnool,12,SC,Telangana,Pothuganti Ramulu,Telangana Rashtra Samithi,"15,01,178","9,89,847",0.668,"1,89,748",0.192
Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,"17,41,967","12,03,124",0.698,"1,81,260",0.151
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Girish Chandra,Bahujan Samaj Party,"15,38,579","10,09,456",0.66,"1,66,832",0.165
Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,"20,60,047","11,86,051",0.578,"2,16,009",0.182
Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,"17,54,749","12,58,570",0.723,"3,39,096",0.269
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),"18,09,760","10,31,286",0.575,"2,56,137",0.248
Nalgonda,13,GEN,Telangana,Uttam Kumar Reddy Nalamada,Indian National Congress,"15,01,209","11,75,703",0.787,25682,0.022
Namakkal,16,GEN,Tamil Nadu,Chinraj A.K.P,Dravida Munetra Kazhagam,"13,83,282","11,33,774",0.831,"2,65,151",0.234
Nanded,16,GEN,Maharashtra,Prataprao Patil Chikhalikar,Bharatiya Janta Party,"16,32,971","11,29,350",0.695,40148,0.036
Nandurbar,1,ST,Maharashtra,Dr. Heena Vijaykumar Gavit,Bharatiya Janta Party,"17,96,321","12,81,738",0.726,95629,0.075
Nandyal,17,,Andhra Pradesh [2014 Onwards],Pocha . Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,"14,02,585","12,99,093",0.933,"2,50,119",0.193
Narasaraopet,14,,Andhra Pradesh [2014 Onwards],Lavu Sri Krishna Devarayalu,Yuvajana Sramika Rythu Congress Party,"15,45,916","14,37,420",0.938,"1,54,002",0.107
Narsapuram,9,,Andhra Pradesh [2014 Onwards],Kanumuru Raghu Rama Krishna Raju,Yuvajana Sramika Rythu Congress Party,"12,94,966","11,77,738",0.919,32676,0.028
Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,"17,64,151","11,21,232",0.64,"2,92,204",0.261
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,"19,04,607","13,08,018",0.692,"6,89,668",0.527
Nawada,39,GEN,Bihar [2000 Onwards],Chandan Singh,Lok Jan Shakti Party,"18,92,017","9,42,462",0.517,"1,48,072",0.157
Nellore,22,,Andhra Pradesh [2014 Onwards],Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,"14,60,959","12,87,036",0.893,"1,48,571",0.115
New Delhi,4,GEN,Delhi [1977 Onwards],Durga Prasad Pande,Bharatiya Janta Party,"14,90,147","9,20,541",0.622,"2,56,504",0.279
Nilgiris,19,SC,Tamil Nadu,"Raja, A.",Dravida Munetra Kazhagam,"13,36,480","10,10,719",0.77,"2,05,823",0.204
Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,"14,45,388","10,62,768",0.737,70875,0.067
North East Delhi,2,GEN,Delhi [1977 Onwards],"Goswami, Sukadev",Bharatiya Janta Party,"19,57,707","14,61,475",0.749,"3,66,102",0.251
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,"5,45,009","4,28,628",0.799,80247,0.187
North West Delhi,5,SC,Delhi [1977 Onwards],Ram Raksha Upadhya,Bharatiya Janta Party,"21,94,425","14,02,962",0.644,"5,53,897",0.395
Nowgong,10,GEN,Assam,Pradyut Bordoloi,Indian National Congress,"17,36,245","14,93,475",0.866,16752,0.011
Ongole,16,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,"14,10,224","13,42,368",0.967,"2,14,851",0.16
Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shiv Sena,"17,83,129","12,04,730",0.681,"1,27,566",0.106
Outer Manipur,2,ST,Manipur,Lorho S. Pfoze,Naga Peoples Front,"9,18,966","8,58,029",0.937,73782,0.086
Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,"12,74,734","10,28,249",0.812,11637,0.011
Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,"18,00,197","12,09,747",0.675,"4,77,606",0.395
